AVG,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
10,7,16,27,37,48,59,71,83,95,107,119,131,146,158,173,186,200,214,229,244
20,28,70,109,150,192,237,278,319,364,409,451,494,540,583,629,673,716,764,812,860
30,50,122,197,272,346,428,504,575,649,729,803,885,960,1045,1118,1197,1271,1351,1434,1517
40,73,183,288,399,512,616,728,834,947,1057,1168,1286,1386,1496,1609,1725,1840,1957,2078,2179
50,100,238,385,523,659,804,955,1092,1235,1385,1531,1677,1818,1963,2113,2272,2418,2549,2706,2852
60,124,293,477,649,828,1000,1170,1353,1544,1718,1894,2078,2248,2435,2617,2801,2989,3174,3317,3510
70,144,365,563,770,983,1190,1402,1608,1830,2032,2246,2460,2682,2885,3099,3310,3523,3728,3958,4177
80,185,416,651,899,1126,1389,1639,1890,2117,2365,2611,2853,3113,3358,3608,3854,4094,4360,4606,4849
90,205,492,756,1046,1314,1603,1878,2138,2418,2704,2978,3277,3553,3837,4129,4403,4665,4952,5236,5526
100,266,537,857,1166,1486,1792,2108,2416,2717,3039,3354,3661,3975,4295,4605,4928,5264,5570,5882,6215
